Pos,RB,AST,STL,BLK,TOV,PPG,FG%,3P%,2P%,FT%
PG,3.92,6.63,0.81,0.14,2.3,10.42,0.37,0.3,0.43,0.89
PG,3.7,7.07,1.93,0.32,3.05,11.73,0.44,0.36,0.45,0.79
PG,4,4.52,1.91,0.17,1.74,15.13,0.41,0.39,0.43,0.87
PG,4.61,7.8,1.6,0.18,4.08,19.51,0.42,0.33,0.47,0.78
PG,4.17,6.37,1.1,0.22,2.85,15.48,0.48,0.32,0.53,0.74
PG,2.92,4.09,1.56,0,2.53,11.48,0.42,0.4,0.44,0.67
PG,4.43,5.14,1.06,0.18,2.48,17.56,0.47,0.29,0.51,0.74
PG,4.1,5.38,1.15,0.13,1.54,9.74,0.46,0.43,0.49,0.86
PG,4.06,5.54,1.29,0.55,1.85,11.63,0.53,0,0.55,0.83
PG,5.68,7.05,2.21,0.21,3.47,31.68,0.5,0.46,0.57,0.9
PG,3.21,3.44,1.15,0.23,1.83,15.59,0.45,0.44,0.46,0.83
PG,4.57,6.23,2.04,0.39,2.82,20.63,0.42,0.39,0.46,0.81
PG,4.41,7.84,1.47,0.37,2.94,13.1,0.44,0.31,0.45,0.58
PG,2.76,5.16,1.2,0.12,2.16,16.8,0.49,0.41,0.51,0.84
PG,4.43,5.61,1.77,0.3,2.36,14.75,0.41,0.32,0.48,0.75
PG,3.32,6.99,1.38,0.34,1.72,17.54,0.43,0.37,0.45,0.83
PG,4.21,6.42,2.11,0.63,3.68,21.47,0.45,0.36,0.48,0.82
PG,4.11,6,2.37,0.32,2.84,17.05,0.41,0.32,0.46,0.82
PG,2.95,4.43,2.22,0.37,2.03,9.78,0.39,0.34,0.47,0.71
PG,5.64,8.18,2.18,0.18,3.09,11.09,0.47,0.36,0.5,0.6
PG,4.92,5.7,2.33,0,2.07,6.47,0.36,0.31,0.56,1
PG,3.51,4.92,1.23,0.18,1.58,14.93,0.42,0.37,0.47,0.86
PG,3.18,7.2,0.85,0.21,2.96,9.32,0.39,0.35,0.47,1
PG,4.67,7.33,0.83,0.17,2.17,11.67,0.44,0.38,0.46,0.76
PG,4.39,4.26,1.63,0.5,1.63,12.42,0.43,0.39,0.48,0.67
PG,3.24,4.22,0.65,0,1.62,15.57,0.45,0.33,0.48,0.92
PG,2.44,6.5,1.35,0.27,3.79,10.02,0.36,0.31,0.39,0.75
PG,6.14,11.97,2.05,0.1,3.99,12.17,0.45,0.38,0.48,0.57
PG,3.35,5.81,0.89,0.22,2.68,15.88,0.4,0.37,0.44,0.78
PG,6.02,6.14,1.77,0.94,3.3,13.57,0.45,0.3,0.47,0.67
PG,4.36,6.08,1.03,0.11,3.32,14.56,0.45,0.37,0.48,0.72
PG,3.85,5.32,0.79,0.23,3.06,18.57,0.43,0.3,0.45,0.81
PG,4.62,11.01,2.31,0.22,2.86,21.47,0.46,0.36,0.5,0.91
PG,5.54,3.96,1.98,0.4,1.71,12,0.34,0.25,0.43,0.78
PG,3.04,3.89,0.85,0.17,2.2,17.92,0.41,0.35,0.46,0.77
PG,4.78,7.78,1.44,0.44,2.89,16.33,0.41,0.33,0.42,0.67
PG,3.43,5.37,1.26,0.34,2.63,22.4,0.45,0.33,0.5,0.89
PG,3.96,3.24,1.62,0.36,1.8,13.68,0.45,0.32,0.53,0.73
PG,8.16,10.88,2.09,0.31,4.5,24.59,0.45,0.3,0.5,0.81
PG,3.35,6.93,1.23,0.11,3.02,24.82,0.43,0.35,0.46,0.88
PG,2.91,7.2,1.38,0.15,2.91,17.77,0.44,0.42,0.48,0.82
PG,3.06,4.47,0.94,0.24,2.12,9.88,0.39,0.39,0.33,0.8
PG,5.41,9.22,1.72,0.12,2.95,16.1,0.45,0.42,0.45,0.76
PG,3.73,7.46,1.1,0.22,3.29,9.88,0.42,0.25,0.47,1
PG,4.87,10.14,1.89,0.8,4.08,19.79,0.42,0.35,0.44,0.78
PG,5.08,3.63,1.31,0.44,1.02,11.03,0.39,0.33,0.43,0.71
PG,5.34,8.96,1.41,0.31,2.67,13.99,0.43,0.33,0.46,0.75
PG,3.98,5.52,0.66,0,2.65,9.72,0.43,0.33,0.45,0.8
PG,7.85,4.39,1.22,1.43,2.65,17.24,0.5,0.29,0.54,0.73
PG,3.83,7.66,1.79,0.38,3.32,21.45,0.44,0.32,0.48,0.85
PG,3.85,3.85,0.91,0,1.81,8.6,0.38,0.44,0.39,0.8
PG,3.6,7.2,0.72,0,3.06,10.26,0.33,0.25,0.43,0.91
PG,3.62,4.88,1.09,0.36,1.45,7.78,0.33,0.27,0.37,0.83
PG,4.22,3.7,1.16,0.21,1.48,12.77,0.44,0.4,0.47,0.75
PG,4.62,3.88,0.92,0.37,3.32,16.43,0.42,0.24,0.47,0.68
PG,3.75,7.27,0.82,0.12,3.28,22.05,0.43,0.36,0.46,0.86
PG,4.82,8.3,1.23,0.22,3.25,14.36,0.39,0.31,0.43,0.89
PG,3.41,7.45,1.52,0.38,3.54,19.83,0.44,0.4,0.46,0.85
PG,3.02,6.74,1.86,0.23,2.09,9.75,0.36,0.29,0.39,0.73
PG,4.6,6.13,1.53,0,3.06,14.55,0.37,0.18,0.43,0.83
PG,4.06,5.32,1.27,0,2.54,11.41,0.44,0.37,0.47,0.71
PG,3.56,4.75,0.59,0.2,2.77,16.22,0.43,0.36,0.47,0.9
PG,4.12,4.99,1.52,0.22,2.39,12.14,0.39,0.23,0.45,0.81
PG,3.36,6.56,0.64,0,2.4,17.44,0.45,0.4,0.48,0.77
PG,4.45,5.26,1.62,0.51,2.12,21.13,0.43,0.37,0.46,0.85
PG,3.22,6.44,1,0.22,2.56,15.67,0.41,0.35,0.45,0.87
PG,4.42,3.93,1.15,0.16,2.13,14.56,0.42,0.21,0.45,0.85
PG,3.98,5.97,0.99,0.2,1.99,13.52,0.37,0.3,0.45,0.71
PG,4.2,4.73,1.18,0.26,1.97,12.48,0.41,0.3,0.46,0.86
PG,3.98,7.96,1.39,0.4,2.78,13.92,0.38,0.35,0.39,0.75
SF,7.44,1.81,0.8,0.2,1.61,18.7,0.45,0.32,0.5,0.75
SF,4.89,1.42,1.26,0.47,1.11,17.37,0.5,0.4,0.52,0.71
SF,6.04,2.42,1.45,0.48,1.45,10.63,0.42,0.29,0.46,0.7
SF,5.33,1.7,1.28,0.64,0.85,10.65,0.31,0.29,0.3,0.69
SF,5.37,1.99,0.99,0.6,1.79,12.13,0.36,0.31,0.43,0.8
SF,5.74,3.42,0.98,0.37,1.95,16.72,0.49,0.41,0.53,0.68
SF,4.72,3.57,1.15,0.26,2.55,22.47,0.36,0.28,0.41,0.81
SF,7.07,0.67,1.01,0.34,1.68,12.45,0.42,0.31,0.48,0.62
SF,3.69,2.05,1.03,0.62,2.26,21.23,0.46,0.3,0.49,0.76
SF,7.71,2.15,1.14,0.76,1.89,12.88,0.41,0.35,0.47,0.74
SF,4.24,2.29,1.76,0.35,1.76,12.71,0.39,0.26,0.45,0.76
SF,6.55,1.89,1.13,0.38,1.51,8.06,0.42,0.27,0.48,0.67
SF,4.17,1.22,0.87,0.35,0.87,6.96,0.3,0.29,0.37,0.86
SF,7.9,4.31,0.92,0.51,2.46,22.36,0.43,0.35,0.46,0.82
SF,7.32,1.53,0.92,1.53,1.22,11.59,0.41,0.27,0.53,0.8
SF,5.59,2.17,0.93,0.31,0.62,10.24,0.46,0.43,0.5,1
SF,6.27,5.97,0.93,0.62,2.98,15.33,0.42,0.35,0.49,0.85
SF,6.92,2.15,1.69,0.77,1.38,9.85,0.5,0.35,0.58,0.62
SF,6.6,2.98,1.68,0.65,2.33,15.02,0.44,0.37,0.5,0.8
SF,5.5,1.77,0.53,0.53,1.42,9.4,0.38,0.38,0.38,1
SF,6.88,2.62,1.25,1,2,12.5,0.38,0.33,0.44,0.83
SF,5.71,2.1,0.7,0.23,1.05,13.63,0.47,0.37,0.51,0.75
SF,5.7,3.19,1.37,0.23,2.51,10.71,0.49,0.36,0.54,0.71
SF,5.95,3.79,0.95,0.27,2.44,19.22,0.47,0.33,0.49,0.81
SF,4.6,1.2,1,1.4,1.4,10.4,0.48,0.27,0.55,0.7
SF,6.61,1.47,0.49,0.73,2.69,12.49,0.42,0.14,0.47,0.62
SF,9.69,1.58,1.19,0.99,2.37,25.32,0.52,0.4,0.53,0.76
SF,6.2,2.2,0.4,0.2,1,14,0.43,0.39,0.45,0.73
SF,3.77,1.21,1.05,0.45,0.9,14.91,0.43,0.39,0.49,0.88
SF,3.98,2.66,1.33,0.3,1.18,10.77,0.4,0.34,0.45,0.69
SF,4.78,1.91,1.27,0.64,1.27,12.11,0.41,0.37,0.44,0.67
SF,4.59,2.35,2.04,0.31,1.43,12.95,0.42,0.37,0.48,0.8
SF,7.2,2.55,1.51,0.23,1.63,9.29,0.41,0.32,0.46,0.76
SF,3.6,1.71,0.95,0.38,0.76,5.49,0.43,0.33,0.48,1
SF,6.98,3.6,1.8,0.9,1.8,10.12,0.47,0.4,0.48,0.73
SF,4.3,1.75,0.54,0.13,2.01,15.04,0.43,0.37,0.48,0.82
SF,6.18,1.9,1.66,0.48,1.07,13.78,0.47,0.36,0.53,0.76
SF,5.25,1,1,0.25,1.25,8.5,0.39,0.29,0.44,0.67
SF,3.75,1.12,0.75,0.75,1.12,13.88,0.4,0.41,0.5,0.8
SF,7.24,4.24,1.97,0.41,3.41,23.9,0.42,0.37,0.45,0.86
SF,4.42,2.82,1.01,0.4,2.41,12.27,0.43,0.33,0.48,0.86
SF,6.55,2.49,1.25,0.31,2.49,12.62,0.38,0.32,0.41,0.79
SF,5.46,1.61,1.45,0.32,1.29,7.23,0.51,0.25,0.59,0.67
SF,5.81,2.05,1.94,0.57,1.25,16.18,0.44,0.34,0.53,0.82
SF,4.39,1.46,0.73,0.59,0.73,8.93,0.44,0.32,0.53,0.7
SF,6.86,2.45,1.47,0.49,1.47,10.29,0.46,0.31,0.52,0.86
SF,7.4,2.83,1.96,1.09,1.63,23.06,0.51,0.45,0.53,0.89
SF,6.88,1.8,1.48,0.74,2.12,18.21,0.47,0.35,0.5,0.78
SF,9,2.55,2.21,1.02,1.53,9.85,0.46,0.2,0.47,0.72
SF,5.5,2.59,0.83,0.41,1.56,20.23,0.41,0.36,0.44,0.87
SF,5.41,4.6,1.49,0.41,1.62,9.47,0.47,0.33,0.58,0.62
SF,5.4,3.24,0.72,0.36,2.16,8.64,0.42,0.33,0.56,1
SF,4.28,2.06,0.79,0.48,1.27,11.42,0.41,0.41,0.41,0.75
SF,8.25,5.03,1.01,1.21,3.52,28.36,0.51,0.39,0.57,0.9
SF,4.47,2.82,1.65,0,1.88,9.88,0.42,0.38,0.5,1
SF,7.48,6.88,1.42,0.61,3.34,25.58,0.52,0.3,0.58,0.72
SF,3.1,2.99,1.33,0,1.88,17.06,0.46,0.41,0.51,0.83
SF,3.42,1.61,0.8,0.4,1.21,11.06,0.45,0.39,0.53,0.67
SF,5.61,1.77,1.48,0.89,1.77,8.56,0.36,0.29,0.43,0.83
SF,5.37,1.04,1.9,1.21,1.21,11.94,0.41,0.33,0.5,0.67
SF,4.14,4.35,0.74,0,2.12,12.53,0.4,0.38,0.42,0.84
SF,4.97,3.68,1.19,0.3,2.49,19.59,0.43,0.35,0.47,0.82
SF,7.99,1.77,2.03,0.76,2.66,16.23,0.39,0.35,0.47,0.81
SF,3.15,4.05,1.01,0.11,2.02,15.08,0.51,0.43,0.57,0.79
SF,3.76,1.1,0.31,0.16,1.1,14.71,0.45,0.44,0.46,0.9
SF,5.14,2.52,0.81,0.3,1.82,14.22,0.43,0.38,0.47,0.74
SF,4.5,0.87,0.69,0.35,1.56,11.94,0.36,0.24,0.49,0.75
SF,6.93,1.73,1.16,0.77,1.54,12.32,0.47,0.28,0.57,0.64
SF,6.31,2.42,0.94,2.15,1.88,13.03,0.42,0.26,0.47,0.67
SF,4.98,1.11,0.92,0.18,0.92,11.08,0.36,0.31,0.41,0.78
SF,7.81,1.85,1.06,0.26,1.85,15.62,0.48,0.4,0.54,0.65
SF,4.24,1.57,1.26,0.79,1.73,18.55,0.4,0.37,0.46,0.79
SF,5.8,1.05,0.53,0.18,1.58,18.44,0.47,0.26,0.51,0.77
SF,5.01,4.1,1.37,0.46,1.82,5.92,0.38,0.36,0.5,0
SF,4.65,2.05,0.96,1.1,1.23,14.92,0.42,0.31,0.47,0.62
SF,5.57,2.23,0.99,0.49,1.61,15.09,0.43,0.31,0.47,0.79
SF,4.6,1.91,1.15,1.91,0.77,10.34,0.48,0.27,0.58,0.67
SF,5.6,1.19,2.03,0.24,1.31,13.11,0.38,0.4,0.4,0.63
SG,5.24,2.48,1.38,1.1,1.24,9.93,0.38,0.34,0.44,0.67
SG,3.85,2.72,1.36,0.23,1.81,14.49,0.46,0.37,0.5,0.89
SG,3.39,1.13,0.75,0.19,1.13,13.76,0.33,0.32,0.36,0.86
SG,3.99,2.16,0.43,0.11,1.29,13.8,0.44,0.38,0.47,0.83
SG,2.26,2.88,1.44,0.21,1.44,12.14,0.4,0.36,0.5,0.8
SG,3.45,3.82,0.91,0.55,2,10.91,0.35,0.29,0.4,0.78
SG,3.23,3.06,0.85,0.85,1.7,9.51,0.35,0.3,0.4,0.8
SG,4.5,1.67,0.64,0.39,1.29,12.6,0.4,0.37,0.43,0.75
SG,4.11,2.27,0.86,0.65,1.84,23.89,0.47,0.43,0.51,0.86
SG,3.62,2.13,0.85,0.21,1.07,13.63,0.42,0.32,0.54,0.91
SG,3.8,3.02,1.01,0.22,1.79,16.21,0.42,0.35,0.47,0.88
SG,4.09,1.64,1.64,0.41,1.23,11.05,0.37,0.28,0.5,1
SG,2.41,2.95,1.09,0.33,1.75,16.63,0.41,0.38,0.46,0.89
