Name,Pos,RB,AST,STL,BLK,TOV,PPG,FG%,3P%,2P%,FT%
Alexis Ajinca,C,11.34,1.23,0.74,1.48,2.22,14.79,0.47,0.0,0.47,0.82
Omer Asik,C,12.69,0.83,0.62,0.62,1.87,8.32,0.52,0.0,0.52,0.56
Mason Plumlee,C,10.91,3.97,1.13,1.42,2.69,12.9,0.52,0.0,0.52,0.63
Tiago Splitter,C,7.38,1.79,1.34,0.67,1.57,12.52,0.53,0.0,0.53,0.85
Andrea Bargnani,C,5.48,1.04,0.26,0.52,1.57,17.22,0.46,0.33,0.47,0.83
Andrew Bogut,C,12.17,4.0,0.87,2.78,2.09,9.39,0.62,0.0,0.62,0.43
Steven Adams,C,9.57,1.14,0.71,1.57,1.57,11.43,0.62,0.0,0.62,0.56
Miles Plumlee,C,9.57,0.76,0.76,2.01,1.76,12.84,0.61,0.0,0.61,0.6
Aron Baynes,C,11.13,1.42,0.71,1.42,1.89,14.92,0.51,0.0,0.51,0.8
Amar'e Stoudemire,C,10.53,1.22,0.73,1.96,2.2,14.2,0.56,0.0,0.56,0.77
Robert Sacre,C,8.16,1.69,0.56,1.12,1.41,9.84,0.4,0.0,0.4,0.67
Amir Johnson,PF,10.11,2.68,1.11,1.74,1.89,11.53,0.59,0.2,0.62,0.6
Adreian Payne,PF,8.13,2.32,1.16,0.77,2.71,9.68,0.36,0.33,0.36,0.6
Anthony Tolliver,PF,6.19,1.35,0.77,0.39,0.77,10.26,0.39,0.37,0.5,0.57
Tristan Thompson,PF,11.7,1.04,0.65,0.78,0.91,10.14,0.59,0.0,0.59,0.6
James Johnson,PF,4.89,2.67,1.11,1.33,2.0,11.11,0.48,0.33,0.52,0.58
Terrence Jones,PF,7.23,1.38,0.86,1.38,1.72,14.99,0.45,0.31,0.48,0.65
Kris Humphries,PF,8.89,1.3,0.22,1.08,1.52,13.88,0.41,0.33,0.45,0.91
Ersan Ilyasova,PF,9.75,0.89,1.06,0.53,0.89,14.36,0.41,0.4,0.42,0.75
Tyler Hansbrough,PF,9.23,0.92,1.38,0.92,1.38,11.08,0.44,0.0,0.47,0.6
Montrezl Harrell,PF,6.31,1.48,1.11,1.11,1.48,13.36,0.65,0.0,0.65,0.5
Tobias Harris,PF,7.66,2.19,1.09,0.66,1.75,14.99,0.46,0.32,0.53,0.77
Tobias Harris,PF,6.68,2.8,0.75,0.43,1.19,17.89,0.47,0.36,0.51,0.91
Spencer Hawes,PF,8.51,3.76,0.79,0.99,1.98,11.87,0.41,0.39,0.42,0.82
Thaddeus Young,PF,9.82,1.96,1.64,0.55,2.07,16.47,0.52,0.25,0.52,0.64
Nene Hilario,PF,8.44,3.19,1.69,0.94,2.44,17.25,0.55,0.0,0.55,0.59
Marvin Williams,PF,7.97,1.74,0.87,1.25,1.0,14.57,0.46,0.4,0.5,0.83
David West,PF,8.0,3.6,1.2,1.4,1.8,14.2,0.54,0.0,0.54,0.8
Richaun Holmes,PF,6.78,1.57,1.04,2.09,1.57,14.61,0.5,0.22,0.6,0.67
Noah Vonleh,PF,9.3,0.95,0.72,0.72,1.43,8.58,0.42,0.17,0.47,0.71
Charlie Villanueva,PF,8.41,1.35,1.01,0.67,1.68,17.16,0.38,0.29,0.52,1.0
Lance Thomas,PF,3.55,1.45,0.65,0.16,1.61,13.24,0.45,0.39,0.46,0.85
Serge Ibaka,PF,7.63,0.9,0.56,2.13,1.57,14.13,0.48,0.33,0.52,0.75
Ersan Ilyasova,PF,7.04,1.43,0.91,0.65,1.43,14.74,0.43,0.37,0.48,0.71
Jonas Jerebko,PF,8.82,1.91,0.72,0.72,1.67,10.49,0.41,0.43,0.43,0.8
Mirza Teletovic,PF,6.42,1.86,0.68,0.51,1.86,20.62,0.43,0.4,0.48,0.75
David Lee,PF,9.86,4.13,0.92,0.92,2.98,16.28,0.45,0.0,0.45,0.76
Jared Sullinger,PF,12.66,3.51,1.37,0.92,1.98,15.71,0.43,0.31,0.46,0.65
Blake Griffin,PF,9.05,5.28,0.86,0.54,2.59,23.07,0.5,0.4,0.5,0.73
Markieff Morris,PF,8.05,1.91,1.23,0.82,2.32,16.91,0.47,0.31,0.52,0.8
Donatas Motiejunas,PF,7.05,2.68,1.22,0.24,2.92,15.08,0.44,0.27,0.5,0.64
Zach Randolph,PF,9.49,2.55,0.73,0.24,1.82,18.61,0.47,0.25,0.48,0.78
Larry Nance Jr.,PF,8.96,1.25,1.61,0.72,1.25,9.85,0.52,0.0,0.54,0.71
Andrew Nicholson,PF,8.82,0.98,0.49,0.98,1.71,16.9,0.47,0.35,0.54,0.75
Julius Randle,PF,13.02,2.3,0.89,0.51,2.3,14.43,0.43,0.25,0.43,0.73
Dwight Powell,PF,10.0,1.5,1.25,0.75,1.5,14.5,0.49,0.0,0.51,0.71
Dirk Nowitzki,PF,7.43,2.06,0.8,0.8,1.26,20.91,0.45,0.37,0.49,0.89
Kristaps Porzingis,PF,9.25,1.65,0.89,2.41,2.15,18.13,0.42,0.32,0.46,0.85
Johnny O'Bryant,PF,7.48,1.38,0.83,0.28,1.38,8.31,0.41,0.0,0.41,0.67
Kyle O'Quinn,PF,11.59,3.36,0.92,2.44,2.75,14.64,0.48,0.33,0.5,0.78
Bobby Portis,PF,10.92,1.62,0.81,0.81,1.82,14.16,0.43,0.37,0.44,0.73
Jabari Parker,PF,5.91,1.93,1.02,0.45,1.7,16.01,0.49,0.2,0.5,0.77
